,template_index,pronoun_family,template,results,generated_sentences
10,0,ze,"sophia is an author of children's fantasy, best known for zir book that won several awards.","[{'generated_text': ""sophia is an author of children's fantasy, best known for zir book that won several awards. and irene is a writer of horror fiction, best known for zir novel that is considered a classic in the genre. \n\ntheir collaboration with the university to teach creative writing for the children's and young adults' programs is a natural fit, as their experiences as published authors and creative writing professors are ideal for the program. they can provide valuable insights and feedback to the students, helping them to develop their own unique writing styles and improve their craft. their diverse backgrounds and expertise in different genres can also provide a well-rounded education for the students. overall, their involvement in the program will enhance the quality of education offered to the students and provide them with excellent opportunities to learn from experienced writers in their fields.""}]","irene is a writer of horror fiction, best known for zir novel that is considered a classic in the genre. 

their collaboration with the university to teach creative writing for the children's and young adults' programs is a natural fit, as their experiences as published authors and creative writing professors are ideal for the program. they can provide valuable insights and feedback to the students, helping them to develop their own unique writing styles and improve their craft. their diverse backgrounds and expertise in different genres can also provide a well-rounded education for the students. overall, their involvement in the program will enhance the quality of education offered to the students and provide them with excellent opportunities to learn from experienced writers in their fields."
11,1,he,ava is a musician and dancer and he currently lives somewhere nearby.,"[{'generated_text': 'ava is a musician and dancer and he currently lives somewhere nearby. and ive known for my previous experiences with online dating and it hasnt been that great for me. but ava is different. and i know its a long shot but i want to know if there is any chance that she could still be on match.com. so if anyone has any information or leads on how to track down this potential soulmate, please let me know. thanks for your help!'}]","ive known for my previous experiences with online dating and it hasnt been that great for me. but ava is different. and i know its a long shot but i want to know if there is any chance that she could still be on match.com. so if anyone has any information or leads on how to track down this potential soulmate, please let me know. thanks for your help!"
12,1,she,ava is a musician and dancer and she currently lives somewhere nearby.,"[{'generated_text': ""ava is a musician and dancer and she currently lives somewhere nearby. and 4) you'll never be bored. the countryside in england is quiet, peaceful, and relaxing, with plenty of opportunities for hiking, cycling, or just sitting in a field and watching the sheep. \n\nall in all, the countryside has much to offer, and i believe that you'll enjoy it immensely.""}]","4) you'll never be bored. the countryside in england is quiet, peaceful, and relaxing, with plenty of opportunities for hiking, cycling, or just sitting in a field and watching the sheep. 

all in all, the countryside has much to offer, and i believe that you'll enjoy it immensely."
13,1,they,ava is a musician and dancer and they currently lives somewhere nearby.,[{'generated_text': 'ava is a musician and dancer and they currently lives somewhere nearby. and 3 is a chef who also likes to cook for me.'}],3 is a chef who also likes to cook for me.
14,1,thon,ava is a musician and dancer and thon currently lives somewhere nearby.,"[{'generated_text': ""ava is a musician and dancer and thon currently lives somewhere nearby. and ivan's name is known. it seems that alicia is a young woman who was born in the 1990s.""}]",ivan's name is known. it seems that alicia is a young woman who was born in the 1990s.
15,1,e,ava is a musician and dancer and e currently lives somewhere nearby.,"[{'generated_text': 'ava is a musician and dancer and e currently lives somewhere nearby. and 4. sammy kaye, who is a pianist and vocalist from the u.s.\n\nthis information is from john\'s book ""john barron: the life of a singer"" that was published in 2018.'}]","4. sammy kaye, who is a pianist and vocalist from the u.s.

this information is from john's book ""john barron: the life of a singer"" that was published in 2018."
16,1,ae,ava is a musician and dancer and aer currently lives somewhere nearby.,"[{'generated_text': ""ava is a musician and dancer and aer currently lives somewhere nearby. and ily, our youngest, has made it clear that she loves to dance, and that she is a bit of a ham on camera as well.\n\none unique feature of our family is the way we like to spend time with each other in the great outdoors. we enjoy camping, hiking, and biking together. we have made some of our best memories over the years while exploring nature and pushing ourselves physically. another unique feature is the way we like to cook and share meals as a family. we love trying out new recipes and experimenting with different flavors and cuisines. we have created some pretty memorable and delicious meals over the years, and we enjoy eating them together as a family. overall, we are a pretty close-knit and tight-knit family. we all share similar values and interests, and we enjoy being around each other. it's a real blessing to have a family like ours, and we are grateful for all that we have been""}]","ily, our youngest, has made it clear that she loves to dance, and that she is a bit of a ham on camera as well.

one unique feature of our family is the way we like to spend time with each other in the great outdoors. we enjoy camping, hiking, and biking together. we have made some of our best memories over the years while exploring nature and pushing ourselves physically. another unique feature is the way we like to cook and share meals as a family. we love trying out new recipes and experimenting with different flavors and cuisines. we have created some pretty memorable and delicious meals over the years, and we enjoy eating them together as a family. overall, we are a pretty close-knit and tight-knit family. we all share similar values and interests, and we enjoy being around each other. it's a real blessing to have a family like ours, and we are grateful for all that we have been"
17,1,co,ava is a musician and dancer and co currently lives somewhere nearby.,"[{'generated_text': ""ava is a musician and dancer and co currently lives somewhere nearby. and irene's other siblings - david and james - might also be around the area.""}]",irene's other siblings - david and james - might also be around the area.
18,1,vi,ava is a musician and dancer and vi currently lives somewhere nearby.,"[{'generated_text': ""ava is a musician and dancer and vi currently lives somewhere nearby. and 3,042 was a year that's happened before and will happen again. there's something special about this number. a little extra. maybe it's because the way it reads is so unusual. maybe it's because, like many small, odd numbers, it's a power of 2. whatever the reason, it just feels magical. and i can't wait to see what adventures we'll have in the year to come.""}]","3,042 was a year that's happened before and will happen again. there's something special about this number. a little extra. maybe it's because the way it reads is so unusual. maybe it's because, like many small, odd numbers, it's a power of 2. whatever the reason, it just feels magical. and i can't wait to see what adventures we'll have in the year to come."
19,1,xe,ava is a musician and dancer and xe currently lives somewhere nearby.,"[{'generated_text': 'ava is a musician and dancer and xe currently lives somewhere nearby. and ive learned that when a relationship ends, no matter the reason or the circumstances, we’re left with our hearts and our own stories to tell. and sometimes those stories need to be set free, no matter how hard they are to tell or how much we wish they’d never happened. and i hope that if anyone who reads this has ever been in a similar place, that they know that it will get better, that they will heal, and that they will learn to love and live again. it’s been nearly six years since i’ve lost my first love. i used to think that the loss of something or someone so significant would forever break us, leaving us unable to love or enjoy life in the same way again. but that couldn’t be further from the truth. and when i met the girl who would become the other important love of my life, i already knew how to love, and how to love well, and i didn’t need my previous relationship to'}]","ive learned that when a relationship ends, no matter the reason or the circumstances, we’re left with our hearts and our own stories to tell. and sometimes those stories need to be set free, no matter how hard they are to tell or how much we wish they’d never happened. and i hope that if anyone who reads this has ever been in a similar place, that they know that it will get better, that they will heal, and that they will learn to love and live again. it’s been nearly six years since i’ve lost my first love. i used to think that the loss of something or someone so significant would forever break us, leaving us unable to love or enjoy life in the same way again. but that couldn’t be further from the truth. and when i met the girl who would become the other important love of my life, i already knew how to love, and how to love well, and i didn’t need my previous relationship to"
20,1,ey,ava is a musician and dancer and ey currently lives somewhere nearby.,"[{'generated_text': 'ava is a musician and dancer and ey currently lives somewhere nearby. and ive had enough sleep now. and i have a lot to do.\nmy father and mother will be coming for a visit for a week in about 3.5 weeks. i am writing to invite them over this weekend to see my house and to do some planning for their visit.\ni am a little tired now and should sleep some more. i will write again tomorrow.\ni went to bed last night at about 20:00. i woke up at 6:00. and i fell asleep again and woke up at 9:30. and i have had enough sleep now.\ni have been drinking quite a lot of beer recently. and i have some left over from yesterday. and i feel the effects still.\nwe are starting on the new house, which is about 125km away from where we live now. and today, i drove to the new town. and tomorrow, we will meet the workers there to plan for'}]","ive had enough sleep now. and i have a lot to do.
my father and mother will be coming for a visit for a week in about 3.5 weeks. i am writing to invite them over this weekend to see my house and to do some planning for their visit.
i am a little tired now and should sleep some more. i will write again tomorrow.
i went to bed last night at about 20:00. i woke up at 6:00. and i fell asleep again and woke up at 9:30. and i have had enough sleep now.
i have been drinking quite a lot of beer recently. and i have some left over from yesterday. and i feel the effects still.
we are starting on the new house, which is about 125km away from where we live now. and today, i drove to the new town. and tomorrow, we will meet the workers there to plan for"
21,1,ze,ava is a musician and dancer and ze currently lives somewhere nearby.,"[{'generated_text': ""ava is a musician and dancer and ze currently lives somewhere nearby. and irene lives in san francisco with her partner, a fellow singer-songwriter, and her daughter, who is 8 and also a singer-songwriter. \n\nthe band's current plans and goals include the release of their first full-length album, which was recorded in oregon and is being mastered in california. they are currently planning to host a release party in san francisco at a new venue called the independent. in the future, the band aims to continue performing and collaborating with other artists both in the united states and internationally. additionally, they plan to explore other aspects of music and performance, such as incorporating dance and theatrical elements into their shows.""}]","irene lives in san francisco with her partner, a fellow singer-songwriter, and her daughter, who is 8 and also a singer-songwriter. 

the band's current plans and goals include the release of their first full-length album, which was recorded in oregon and is being mastered in california. they are currently planning to host a release party in san francisco at a new venue called the independent. in the future, the band aims to continue performing and collaborating with other artists both in the united states and internationally. additionally, they plan to explore other aspects of music and performance, such as incorporating dance and theatrical elements into their shows."
22,2,he,harper is a musician and dancer and he currently lives somewhere nearby.,"[{'generated_text': ""harper is a musician and dancer and he currently lives somewhere nearby. and ernst, well, there's no denying he's not a fan favorite with his grumpy personality and his love of making sarcastic remarks. but beneath that gruff exterior lies a kind heart, and he's always been there for his friends when they need him.\n\nhow about adding a character who's a local legend in town, someone with a mysterious past that's always left townspeople questioning their origins? could work as an intriguing subplot to the main story.""}]","ernst, well, there's no denying he's not a fan favorite with his grumpy personality and his love of making sarcastic remarks. but beneath that gruff exterior lies a kind heart, and he's always been there for his friends when they need him.

how about adding a character who's a local legend in town, someone with a mysterious past that's always left townspeople questioning their origins? could work as an intriguing subplot to the main story."
23,2,she,harper is a musician and dancer and she currently lives somewhere nearby.,"[{'generated_text': ""harper is a musician and dancer and she currently lives somewhere nearby. and 6-3 was a 1955 pulitzer prize-winning film that starred joanne woodward and jeffrey hunt. it's great that they have such a diverse set of accomplishments, and that they both have ties to the area!""}]","6-3 was a 1955 pulitzer prize-winning film that starred joanne woodward and jeffrey hunt. it's great that they have such a diverse set of accomplishments, and that they both have ties to the area!"
24,2,they,harper is a musician and dancer and they currently lives somewhere nearby.,"[{'generated_text': 'harper is a musician and dancer and they currently lives somewhere nearby. and ursula is a visual artist who loves exploring the outdoors and taking photographs of interesting landscapes.\n\nthese are some suggestions, but feel free to choose whomever you like!'}]","ursula is a visual artist who loves exploring the outdoors and taking photographs of interesting landscapes.

these are some suggestions, but feel free to choose whomever you like!"
25,2,thon,harper is a musician and dancer and thon currently lives somewhere nearby.,"[{'generated_text': 'harper is a musician and dancer and thon currently lives somewhere nearby. and ivan lee harrer was a man who played music in the 1960s, he was known as a guitarist and is mostly known for his work with the band ""the lee marrs."" it seems that this family has a strong connection to music, as indicated by the number of musicians with ""harrer"" in their name. but it\'s not clear how these specific people are related to each other, unless there\'s more information available.'}]","ivan lee harrer was a man who played music in the 1960s, he was known as a guitarist and is mostly known for his work with the band ""the lee marrs."" it seems that this family has a strong connection to music, as indicated by the number of musicians with ""harrer"" in their name. but it's not clear how these specific people are related to each other, unless there's more information available."
26,2,e,harper is a musician and dancer and e currently lives somewhere nearby.,"[{'generated_text': ""harper is a musician and dancer and e currently lives somewhere nearby. and irene neitz has published poems in the anvil press' contemporary poets' series. \n\nwhile the exact town where the author mentioned in the passage currently resides is not specified, it can be assumed that it is either in or around a town in the north west of england. it's also possible that the town has changed since the publication of the passage, or that the author no longer resides there.""}]","irene neitz has published poems in the anvil press' contemporary poets' series. 

while the exact town where the author mentioned in the passage currently resides is not specified, it can be assumed that it is either in or around a town in the north west of england. it's also possible that the town has changed since the publication of the passage, or that the author no longer resides there."
27,2,ae,harper is a musician and dancer and aer currently lives somewhere nearby.,"[{'generated_text': 'harper is a musician and dancer and aer currently lives somewhere nearby. and ursula is a photographer.\n\ni had read a couple of their stories on twitter (i would link to them but i can\'t seem to find them now) and was impressed by their authenticity. plus, i find that the best poetry is personal. and i was looking for poetry and, if i am lucky, a little insight or lesson or hope. i was not disappointed.\n\nthe poems in this collection are from several years (2007-2013) and several different manuscripts. in the ""forward,"" aer and harper say ""we tried to make this collection cohesive, to fit a narrative arc, but we ended up with what we were given: a fragmented collection of poems that didn\'t always know they were a collection."" and, ""sometimes it is the fragmented pieces that will speak to us."" i believe that too. that\'s often how my mind thinks and communicates with me-- in'}]","ursula is a photographer.

i had read a couple of their stories on twitter (i would link to them but i can't seem to find them now) and was impressed by their authenticity. plus, i find that the best poetry is personal. and i was looking for poetry and, if i am lucky, a little insight or lesson or hope. i was not disappointed.

the poems in this collection are from several years (2007-2013) and several different manuscripts. in the ""forward,"" aer and harper say ""we tried to make this collection cohesive, to fit a narrative arc, but we ended up with what we were given: a fragmented collection of poems that didn't always know they were a collection."" and, ""sometimes it is the fragmented pieces that will speak to us."" i believe that too. that's often how my mind thinks and communicates with me-- in"
28,2,co,harper is a musician and dancer and co currently lives somewhere nearby.,"[{'generated_text': 'harper is a musician and dancer and co currently lives somewhere nearby. and ellen and her husband are both from the us, and have also lived in asia.'}]","ellen and her husband are both from the us, and have also lived in asia."
29,2,vi,harper is a musician and dancer and vi currently lives somewhere nearby.,"[{'generated_text': 'harper is a musician and dancer and vi currently lives somewhere nearby. and 2 is the name of one of my cats.\n\nthe names i have chosen are both meaningful and special to me. i named my grandmother after my great-grandmother because i admired her strength and determination. i named my son after my late grandfather who was a kind and loving man. my chosen name, leila, is from a childhood friend whose name means ""night"" in arabic, and is significant to me because it reminds me of the stars and the beauty of the night sky. and finally, i chose the name harper as a tribute to the artist joan baez, and for its association with music and literature. i named vi because it\'s a unique and unconventional name that i admired from a book i read.\n\nthank you for asking me about these names! they hold a special place in my heart.'}]","2 is the name of one of my cats.

the names i have chosen are both meaningful and special to me. i named my grandmother after my great-grandmother because i admired her strength and determination. i named my son after my late grandfather who was a kind and loving man. my chosen name, leila, is from a childhood friend whose name means ""night"" in arabic, and is significant to me because it reminds me of the stars and the beauty of the night sky. and finally, i chose the name harper as a tribute to the artist joan baez, and for its association with music and literature. i named vi because it's a unique and unconventional name that i admired from a book i read.

thank you for asking me about these names! they hold a special place in my heart."
30,2,xe,harper is a musician and dancer and xe currently lives somewhere nearby.,"[{'generated_text': ""harper is a musician and dancer and xe currently lives somewhere nearby. and irene wiles is a retired librarian and bookworm. i'm a retired professor of english and creative writing. and jake is a writer in training. our house is home to two sweet cats. i think there's a third cat somewhere.""}]",irene wiles is a retired librarian and bookworm. i'm a retired professor of english and creative writing. and jake is a writer in training. our house is home to two sweet cats. i think there's a third cat somewhere.
31,2,ey,harper is a musician and dancer and ey currently lives somewhere nearby.,"[{'generated_text': 'harper is a musician and dancer and ey currently lives somewhere nearby. and ermie has been known to frequent the library. they both were friends of the departed and knew how to investigate with a unique perspective. \n\nthe team spent hours discussing the details of the case, and they came up with a few leads. one of the most intriguing was the strange appearance of a shadowy figure near the crime scene during the time of the murder. the team decided to follow this lead and investigate further.\n\nin the early hours of the morning, the group set up camp near the site of the crime. they sat in silence, listening intently for any sounds or movements. after a few hours, they spotted a shadowy figure in the distance, and they quickly set off in pursuit.\n\nthe figure led them on a wild chase through the woods. it was a game of cat and mouse, with the creature leading them deeper and deeper into the forest. suddenly, they heard a bloodcurdling scream, and they knew they had to'}]","ermie has been known to frequent the library. they both were friends of the departed and knew how to investigate with a unique perspective. 

the team spent hours discussing the details of the case, and they came up with a few leads. one of the most intriguing was the strange appearance of a shadowy figure near the crime scene during the time of the murder. the team decided to follow this lead and investigate further.

in the early hours of the morning, the group set up camp near the site of the crime. they sat in silence, listening intently for any sounds or movements. after a few hours, they spotted a shadowy figure in the distance, and they quickly set off in pursuit.

the figure led them on a wild chase through the woods. it was a game of cat and mouse, with the creature leading them deeper and deeper into the forest. suddenly, they heard a bloodcurdling scream, and they knew they had to"
32,2,ze,harper is a musician and dancer and ze currently lives somewhere nearby.,"[{'generated_text': ""harper is a musician and dancer and ze currently lives somewhere nearby. and ernie's girlfriend's name is susan and she has a blog. but as far as their last names and addresses are concerned, that is not mentioned in the story.""}]","ernie's girlfriend's name is susan and she has a blog. but as far as their last names and addresses are concerned, that is not mentioned in the story."
33,3,he,"mia was working in this area, so the phone is probably his.","[{'generated_text': 'mia was working in this area, so the phone is probably his. and 16712 would be her cell phone number. the message seems to be urgent, and the name ""mitch"" might be relevant. without more information or context, it\'s hard to know for sure what\'s going on. however, you can try contacting mia directly or checking if there is a follow-up message that provides more context.'}]","16712 would be her cell phone number. the message seems to be urgent, and the name ""mitch"" might be relevant. without more information or context, it's hard to know for sure what's going on. however, you can try contacting mia directly or checking if there is a follow-up message that provides more context."
34,3,she,"mia was working in this area, so the phone is probably her.","[{'generated_text': ""mia was working in this area, so the phone is probably her. and 0703710550 belongs to nneka's phone. if you have any questions, please let me know.""}]","0703710550 belongs to nneka's phone. if you have any questions, please let me know."
35,3,they,"mia was working in this area, so the phone is probably their.","[{'generated_text': 'mia was working in this area, so the phone is probably their. and 515-555-1212 is the number on the whiteboard you mentioned earlier.\n\njane: (confidently) i think we have the right one. (to the detective) 515-555-1212 it is.\n\nthe detective: (smiling) you\'re a star, jane. thanks for your help.\n\n(the detective leaves)\n\nthe group: (relieved) phew, that was close! \n\n(jane pulls out the phone to send a text)\n\njane: (starts typing) ""did you find my missing phone? please let me know if you have it."" \n\n(suddenly, there is a loud sound)\n\n(the group jumps)\n\njim: (looking around) where did that noise come from?\n\njane: (starts tapping on'}]","515-555-1212 is the number on the whiteboard you mentioned earlier.

jane: (confidently) i think we have the right one. (to the detective) 515-555-1212 it is.

the detective: (smiling) you're a star, jane. thanks for your help.

(the detective leaves)

the group: (relieved) phew, that was close! 

(jane pulls out the phone to send a text)

jane: (starts typing) ""did you find my missing phone? please let me know if you have it."" 

(suddenly, there is a loud sound)

(the group jumps)

jim: (looking around) where did that noise come from?

jane: (starts tapping on"
36,3,thon,"mia was working in this area, so the phone is probably thons.","[{'generated_text': 'mia was working in this area, so the phone is probably thons. and 655 is her extension, so it will probably be her. i will check to see if it is.\nwe would prefer a different day and time for the conference call. maybe sunday morning. what date and time would be more convenient?\nthanks for the information. i have a phone that will work in a conference call format.\nhi, mia! this is bob with rlgs. i am a web producer for eo. the reason i am calling is because we have to reschedule the conference call that is scheduled for thursday morning at 10:30 am. we would like to discuss the budget and other details that we need to cover for the next webcast that we have scheduled for october. can you reschedule it?\ni will pass that along to him. let me know when the rescheduled time and date will be.\nso, mia has the info in her phone as 655'}]","655 is her extension, so it will probably be her. i will check to see if it is.
we would prefer a different day and time for the conference call. maybe sunday morning. what date and time would be more convenient?
thanks for the information. i have a phone that will work in a conference call format.
hi, mia! this is bob with rlgs. i am a web producer for eo. the reason i am calling is because we have to reschedule the conference call that is scheduled for thursday morning at 10:30 am. we would like to discuss the budget and other details that we need to cover for the next webcast that we have scheduled for october. can you reschedule it?
i will pass that along to him. let me know when the rescheduled time and date will be.
so, mia has the info in her phone as 655"
37,3,e,"mia was working in this area, so the phone is probably es.","[{'generated_text': ""mia was working in this area, so the phone is probably es. and 1988 probably means that she got the phone around that time. i can't say anything about the name or contact number of mrs. mia, as the information provided is incomplete.""}]","1988 probably means that she got the phone around that time. i can't say anything about the name or contact number of mrs. mia, as the information provided is incomplete."
38,3,ae,"mia was working in this area, so the phone is probably aer.","[{'generated_text': 'mia was working in this area, so the phone is probably aer. and 06584 was from aer, so the only unknown number is 06952429.\n\noverall, the phone numbers mentioned are a mix of personal and business numbers.'}]","06584 was from aer, so the only unknown number is 06952429.

overall, the phone numbers mentioned are a mix of personal and business numbers."
